time,GAGE-1,TRGW-0-26-6,TRGW-2-26-6,TRGW-0-3-8,TRGW-2-3-8
3652.5,2943.238710125307,37.37579734939621,37.32816986832829,38.030891607134,37.9872551725799
3683.5,2815.3775087482873,37.16842000429997,37.16684986190544,38.00653920710691,37.98723133225013
3712.5,2749.121657002148,37.11648901838132,37.12941711796628,38.043373710552835,38.06192695373549
3743.5,2816.797639969459,37.182889888463976,37.12329270101648,38.11740413733946,38.11218885064446
3773.5,2892.3137046365764,37.283325898204545,37.204181048925435,38.189833537796545,38.21368104813638
3804.5,3023.24777661694,37.274370690318435,37.22775607662366,38.31031866677986,38.27400479134601
3834.5,3034.117844348936,37.325037518182405,37.27261953236796,38.41870941463269,38.37195639396172
3865.5,2982.127396291752,37.30045718463568,37.247316251867126,38.40334491972432,38.43407851338914
3896.5,2910.845976211529,37.19973692398008,37.21371432093123,38.337150268933776,38.260427511532974
3926.5,2648.8005677907777,36.96003489138633,36.89706475391726,38.171892756766695,38.1129762766774
3957.5,2428.7324895334127,36.62773168826298,36.60803163534142,37.93310723251441,37.949168521032085
3987.5,2204.183331328487,36.38546166212062,36.33399137553427,37.76423918283613,37.763880340968804
4018.5,2006.6656288256622,36.156393893708405,36.15122442813848,37.60864425984342,37.59477435025086
4049.5,2077.445781499212,36.0555150185282,35.98106977314761,37.5570131038906,37.537507567103496
4077.5,2136.3354238607553,35.98240219542098,35.93313026103661,37.55944373742845,37.615194344428744
4108.5,2302.3991307986093,35.90634063951703,35.90004552497005,37.666045573483714,37.674174350057235
4138.5,2504.0280621702605,36.007123170094076,35.97630987940602,37.829636590415376,37.857732704299266
4169.5,2714.2906040887515,36.09014604343871,36.07092431422107,37.89926704076135,37.93106126413252
4199.5,2729.008835141179,36.217937267024055,36.181785248224955,38.00474125743798,38.005652342863684
4230.5,2763.701674756412,36.27164530616388,36.29207098509676,38.056122107503185,38.062236675145925
4261.5,2553.338914236795,36.14572624730158,36.0948248710214,37.96052078609177,37.94573544590566
4291.5,2319.100358907698,35.76941979316995,35.715441846641184,37.831640575804514,37.806416306885545
4322.5,2032.2307563721813,35.38474770207679,35.38241691459108,37.61729569975052,37.617784670516336
4352.5,1866.9384501087338,35.05523615545298,35.06637576110523,37.43898054253645,37.40633225322218
4383.5,1627.5804905329685,34.833151858210364,34.83393790725634,37.29323628360771,37.261390522769425
