,time,value,site
110,3957.5,38.09222972050482,TRGW-2-3-8
111,3987.5,37.83728181619699,TRGW-2-3-8
112,4018.5,37.68493924972528,TRGW-2-3-8
113,4049.5,37.64897515115742,TRGW-2-3-8
114,4077.5,37.48510441604103,TRGW-2-3-8
115,4108.5,37.77306364057674,TRGW-2-3-8
116,4138.5,37.89853744528598,TRGW-2-3-8
117,4169.5,37.76643962755247,TRGW-2-3-8
118,4199.5,38.11143222708736,TRGW-2-3-8
119,4230.5,37.842931051390856,TRGW-2-3-8
120,4261.5,38.12286886104209,TRGW-2-3-8
121,4291.5,37.8195343308902,TRGW-2-3-8
122,4322.5,37.550152291016616,TRGW-2-3-8
123,4352.5,37.44020884125578,TRGW-2-3-8
124,4383.5,37.394709805894045,TRGW-2-3-8
