time,TRGW-2-2-15,TRGW-2-2-9,TRGW-2-9-1,TRGW-2-13-10,TRGW-2-15-16,TRGW-2-21-10,TRGW-2-22-15,TRGW-2-24-4,TRGW-2-29-15,TRGW-2-33-7,TRGW-2-34-10,TRGW-0-2-15,TRGW-0-2-9,TRGW-0-9-1,TRGW-0-13-10,TRGW-0-15-16,TRGW-0-21-10,TRGW-0-22-15,TRGW-0-24-4,TRGW-0-29-15,TRGW-0-33-7,TRGW-0-34-10,HEADWATER,TAILWATER,part_time
3652.5,35.153860509000005,37.648574748,39.71301178,35.862577425,35.212868413,36.313536525,35.193517646,38.289623337,34.958276665,36.399031433,35.344849832,35.154473118,37.649638412,39.71876319,35.870908932,35.225406084999996,36.315295860000006,35.186415531,38.312605414000004,34.91190558,36.417483362,35.356669408,-1380.8214118169499,-1027.631899235901,-1027.631899235901
3683.5,35.138218429000005,37.6403127695,39.7010965985,35.7819673545,35.145173197999995,36.195498873000005,35.1001816095,38.2341661285,34.912546006,36.300078544,35.186234295000006,35.1389443755,37.641441272,39.706750949,35.7911498085,35.159653584,36.198278501000004,35.094392978500004,38.2584056535,34.870533975,36.319846313000006,35.1972361825,-1279.568793385989,-968.6154380185442,-968.6154380185442
3712.5,35.14338843349999,37.66370803150001,39.745397135000005,35.77575498,35.1334795455,36.1469994505,35.074544738499995,38.213303851499994,34.891958478,36.274701420999996,35.178742277,35.144172063499994,37.664892786,39.7512898645,35.784015431,35.1475575085,36.1487124875,35.0688093475,38.235713708000006,34.850940731499996,36.290826154,35.189189616,-1303.0310694320494,-955.9468600820104,-955.9468600820104
3743.5,35.179192757500005,37.729918138,39.8391667545,35.808469314,35.172683328,36.1565112875,35.0903433615,38.242649615,34.91029655449999,36.309432029,35.2000255325,35.180062,37.731148402,39.845568845500004,35.8183471275,35.1885807845,36.1585341265,35.0853237135,38.264459419999994,34.8690975505,36.324628967,35.211389834500004,-1336.2714341953433,-976.0106252020572,-976.0106252020572
3773.5,35.236187531999995,37.8372603035,39.971517405,35.874446464,35.2412212205,36.217237842500005,35.142700446999996,38.314331527,34.962732407,36.393952946499994,35.2645531405,35.237190047,37.838611539,39.978418955,35.884582202000004,35.2585539965,36.21897488250001,35.137378969000004,38.334488521000004,34.919575364500005,36.407823959,35.2754288425,-1414.7776588132433,-1023.6394036633919,-1023.6394036633919
3804.5,35.2908977155,37.9479047795,40.108212044,35.9269696995,35.29570839349999,36.278148852,35.190460204,38.4207234795,35.012245494999995,36.46686256700001,35.3260473215,35.291935888,37.949342451499994,40.115158064,35.938038800499996,35.314223315999996,36.280493637,35.185214496499995,38.441862394,34.967439717000005,36.4826534665,35.338241952,-1456.2397569875027,-1066.5854791699153,-1066.5854791699153
3834.5,35.311223177,38.017578969,40.207589571999996,35.940866441500006,35.2926455945,36.2730483075,35.1807629275,38.466695314,35.008842096,36.419384956,35.28837443,35.3122099275,38.0190481855,40.2142918975,35.951151413000005,35.3106965575,36.275355718,35.175172533,38.490043089,34.9646411325,36.435581200499996,35.2996629845,-1451.8638061780632,-1059.4267938168584,-1059.4267938168584
3865.5,35.2851304665,38.0123585995,40.2212147555,35.916145356499996,35.239096015,36.240871304500004,35.14870004949999,38.4344952,34.9603612855,36.352151004,35.259854267,35.2859255675,38.013795585,40.227705362500004,35.924169314,35.2531969275,36.241968942,35.1414636505,38.4590787785,34.9165355275,36.370671708,35.2690327005,-1444.3814213821292,-1019.5085396765829,-1019.5085396765829
3896.5,35.231965202000005,37.940398448500005,40.1271034545,35.8505213885,35.1656841165,36.167520038999996,35.0902748875,38.318637398999996,34.890458931,36.247438201,35.188341111999996,35.232540452,37.941778267000004,40.133567081,35.8580595215,35.1768525345,36.169021786,35.0829130765,38.343654744000006,34.8482996365,36.267572445499994,35.1968377185,-1395.512377433274,-953.3457859682769,-953.3457859682769
3926.5,35.154408662,37.806303381,39.916906360999995,35.6686627995,35.0311201535,35.9815868445,34.9704775865,38.0616826905,34.771998511,35.9899926605,34.949341600500006,35.1548858055,37.807815962,39.923350617,35.6761705425,35.040164714999996,35.9843560595,34.9636733925,38.083175094,34.736009806000006,36.005985504499996,34.957335446500004,-1265.329590462999,-834.3486194538252,-834.3486194538252
