time,GAGE-1,TRGW-0-26-6,TRGW-0-3-8,TRGW-2-26-6,TRGW-2-3-8
3652.5,3405.6527013702653,37.47493850306262,38.063501262799626,37.26565692182182,38.27175406732943
3683.5,2827.043160112681,37.19197343348264,38.014818063887695,37.094059991811946,38.09853599146873
3712.5,2633.722349505479,37.10126085166184,38.02010508835678,36.90697644434008,38.23868916475914
3743.5,2668.911064772906,37.32329812010036,37.92480964825626,37.21213587035084,38.0921802676444
3773.5,2480.466786811586,37.33794117370928,38.13561651956118,37.39016429752719,38.23431256670021
3804.5,2884.973454710085,37.349942301459535,38.29954137939251,37.205866097835205,38.27250529856316
3834.5,2710.9788255025423,37.36220136907766,38.36067661288427,37.41947470320322,38.338138119454456
3865.5,3015.6460302858795,37.04881138778084,38.40423015165593,37.304675265940105,38.458617007123294
3896.5,3263.9738885560646,37.3841752482981,38.440548983436926,37.12267268612892,38.3183236744816
3926.5,2388.101883110935,36.92734383773918,38.40586216463584,36.90484493476813,37.92560854298618
3957.5,2572.553558985558,36.7161382525789,37.94834667833217,36.44441319100493,38.09222972050482
3987.5,2551.29213876054,36.30343758485471,37.671217713078725,36.07578472462736,37.83728181619699
4018.5,1989.6279312897288,36.17762383385429,37.51418158795315,36.21128471257332,37.68493924972528
4049.5,2310.653515454276,36.040887573721335,37.39778711701933,35.90913065899268,37.64897515115742
4077.5,1880.7310172280984,36.04561685950106,37.53036915469186,35.86774097708941,37.48510441604103
4108.5,2030.279978400553,35.91585143166469,37.545043229485685,35.65524735815511,37.77306364057674
4138.5,2618.7545786870546,35.97449047277154,37.76618136881245,36.008489313668775,37.89853744528598
4169.5,3100.5458336178854,36.00637256636263,37.828413040347016,36.377640821959126,37.76643962755247
4199.5,2914.433991034044,36.21654321797829,38.19405384324742,36.32679341921176,38.11143222708736
4230.5,2865.169594393976,36.2067098750216,38.03505031595472,36.06714850680787,37.842931051390856
4261.5,2581.235044678708,36.0891524316936,37.89151159329803,36.098046674510094,38.12286886104209
4291.5,2318.702987824072,35.779704294951834,37.68869468282362,35.65948013144747,37.8195343308902
4322.5,2027.95324467462,35.321987295724654,37.80813925075865,35.440845795892926,37.550152291016616
4352.5,1842.74394042126,35.3122268988344,37.51500823299783,34.98964621789371,37.44020884125578
4383.5,1728.785289038919,34.63532383021662,37.35833194463355,34.75847135713193,37.394709805894045
